Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
VLM,0,14,0,2.48E-07,-1.367697483,success,8.073,world_0.world,8.558028083,0.5
VLM,15,26,0,2.92E-07,-1.123492919,success,6.866,world_0.world,8.558028083,0.5
VLM,0,12,0,2.86E-07,-0.546426005,success,7.229,world_1.world,8.202198905,0.5
VLM,13,25,0,2.77E-07,-0.603013114,success,7.463,world_1.world,8.202198905,0.5
VLM,0,11,0,3.01E-07,-0.016567234,success,6.881,world_2.world,8.591113429,0.5
VLM,12,22,0,3.23E-07,-0.015362329,success,6.501,world_2.world,8.591113429,0.5
VLM,0,11,0,3.00E-07,-0.562153801,success,7.005,world_3.world,8.952248259,0.5
VLM,12,24,0,2.75E-07,-0.687709523,success,7.733,world_3.world,8.952248259,0.5
VLM,0,11,0,2.95E-07,-0.551471264,success,7.151,world_4.world,7.890703186,0.5
VLM,12,24,0,2.60E-07,-1.898026218,success,8.13,world_4.world,7.890703186,0.5
VLM,0,11,0,2.94E-07,-0.447358287,success,7.224,world_5.world,7.912764273,0.5
VLM,12,21,0,3.33E-07,-0.303591562,success,6.484,world_5.world,7.912764273,0.5
VLM,0,10,0,3.10E-07,-0.146118367,success,6.865,world_6.world,8.085837515,0.5
VLM,11,19,0,3.48E-07,-0.116578987,success,6.221,world_6.world,8.085837515,0.5
VLM,0,11,0,2.86E-07,-0.219049832,success,7.633,world_7.world,8.177602477,0.5
VLM,12,21,0,3.29E-07,-0.144408698,success,6.519,world_7.world,8.177602477,0.5
VLM,0,10,0,3.12E-07,-0.384098031,success,6.961,world_8.world,8.839768846,0.5
VLM,11,19,0,3.21E-07,-0.342594254,success,6.654,world_8.world,8.839768846,0.5
VLM,0,14,0,2.19E-07,-3.689123621,success,10.037,world_9.world,7.905243155,0.5
VLM,15,26,0,2.60E-07,-1.428978215,success,8.29,world_9.world,7.905243155,0.5
VLM,0,13,0,2.24E-07,-1.779579757,success,9.619,world_10.world,8.770606378,0.5
VLM,14,28,0,2.00E-07,-2.291593948,success,10.895,world_10.world,8.770606378,0.5
VLM,0,10,0,2.88E-07,-0.317144703,success,7.561,world_11.world,8.161275706,0.5
VLM,11,20,0,2.78E-07,-0.322044413,success,7.646,world_11.world,8.161275706,0.5
VLM,0,9,0,2.92E-07,-0.608288458,success,7.335,world_12.world,8.16460123,0.5
VLM,10,18,0,2.93E-07,-0.752484347,success,7.363,world_12.world,8.16460123,0.5
VLM,0,8,0,3.42E-07,-0.013869789,success,6.425,world_13.world,7.703425987,0.5
VLM,9,17,0,0.00294147,-0.0127982,success,7.182,world_13.world,7.703425987,0.5
VLM,0,15,0,0.278947495,-6.974077577,success,12.452,world_14.world,8.086238509,0.5
VLM,16,27,0,2.39E-07,-0.7052733,success,9.045,world_14.world,8.086238509,0.5
VLM,0,11,0,2.30E-07,-1.80949249,success,9.243,world_15.world,8.183135858,0.5
VLM,12,21,0,2.56E-07,-1.720899048,success,8.423,world_15.world,8.183135858,0.5
VLM,0,8,0,3.21E-07,-0.065162499,success,6.813,world_16.world,7.705096289,0.5
VLM,9,15,0,3.58E-07,-0.046752321,success,6.233,world_16.world,7.705096289,0.5
VLM,0,9,0,2.74E-07,-0.477636594,success,7.551,world_17.world,8.019333475,0.5
VLM,10,17,0,3.38E-07,-0.230362433,success,6.41,world_17.world,8.019333475,0.5
VLM,0,7,0,3.29E-07,-0.024206307,success,6.543,world_18.world,8.199722799,0.5
VLM,8,15,0,3.32E-07,-0.018738931,success,6.438,world_18.world,8.199722799,0.5
VLM,0,7,0,3.22E-07,-0.007599549,success,6.469,world_19.world,8.360155832,0.5
VLM,8,15,0,3.16E-07,-0.010912135,success,6.764,world_19.world,8.360155832,0.5
VLM,0,10,0,2.46E-07,-1.851153816,success,8.831,world_20.world,8.748223031,0.5
VLM,11,20,0,2.39E-07,-1.500340797,success,8.89,world_20.world,8.748223031,0.5
VLM,0,12,0,2.89E-07,-0.019107474,success,6.933,world_21.world,8.155271572,0.5
VLM,13,24,0,2.96E-07,-0.003543093,success,6.77,world_21.world,8.155271572,0.5
VLM,0,12,0,2.87E-07,-0.580559198,success,7.106,world_22.world,9.858020142,0.5
VLM,13,24,0,2.92E-07,-0.614123971,success,7.057,world_22.world,9.858020142,0.5
VLM,0,11,0,3.12E-07,-0.033195147,success,6.717,world_23.world,8.080539346,0.5
VLM,12,22,0,3.23E-07,-0.022685482,success,6.482,world_23.world,8.080539346,0.5
VLM,0,11,0,3.00E-07,-0.375475693,success,7.021,world_24.world,8.330207407,0.5
VLM,12,22,0,3.12E-07,-0.402888849,success,6.743,world_24.world,8.330207407,0.5
VLM,0,11,0,2.92E-07,-0.725144784,success,7.173,world_25.world,8.964642399,0.5
VLM,12,22,0,3.09E-07,-0.620967007,success,6.927,world_25.world,8.964642399,0.5
VLM,0,11,0,2.92E-07,-0.488073093,success,7.399,world_26.world,8.137590765,0.5
VLM,12,21,0,3.12E-07,-0.306863912,success,6.873,world_26.world,8.137590765,0.5
VLM,0,11,0,2.83E-07,-0.450769144,success,7.563,world_27.world,9.746173445,0.5
VLM,12,21,0,3.15E-07,-0.421123,success,6.953,world_27.world,9.746173445,0.5
VLM,0,10,0,3.09E-07,-0.013346465,success,6.969,world_28.world,8.273013727,0.5
VLM,11,19,0,3.38E-07,-0.004098058,success,6.325,world_28.world,8.273013727,0.5
VLM,0,10,0,2.92E-07,-0.26049384,success,7.244,world_29.world,8.00510313,0.5
VLM,11,20,0,3.02E-07,-0.142540738,success,7.063,world_29.world,8.00510313,0.5
VLM,0,15,0,2.06E-07,-2.617534218,success,10.818,world_30.world,8.334769442,0.5
VLM,16,34,0,0.210526435,-8.11120623,success,14.275,world_30.world,8.334769442,0.5
VLM,0,9,0,3.07E-07,-0.562089661,success,6.963,world_31.world,9.167567699,0.5
VLM,10,19,0,2.85E-07,-0.517267853,success,7.485,world_31.world,9.167567699,0.5
VLM,0,9,0,2.98E-07,-0.456034955,success,7.227,world_32.world,7.885459227,0.5
VLM,10,18,0,3.01E-07,-0.36451935,success,6.931,world_32.world,7.885459227,0.5
VLM,0,10,0,2.75E-07,-0.541490202,success,8.074,world_33.world,8.084455349,0.5
