Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,1.1273438325005266e-06,0.0025326937279838584,0.06863909959793091,13.926404954078698,1.0736278545950917,1,1.5936492373024047,0.5404034646336828,2.0,3.14,800,0.019533604383468628,0.01905682682991028,0.1
RL,1,1.5936492373024047,0.5404034646336828,0.14623667299747467,13.015049181956147,0.9113557721225511,1,1.8444209295959935,-0.04821107051791336,1.9610458612442017,3.0215470790863037,800,0.014010578393936157,0.01,0.14623667299747467
RL,2,1.8444209295959935,-0.04821107051791336,0.11825434863567352,11.944772205912889,1.0702769760432584,1,1.7709913771326191,-0.15456100056797117,1.8430670499801636,3.092062473297119,748,0.01,0.01,0.11825434863567352
RL,3,1.7709913771326191,-0.15456100056797117,0.05645698308944702,10.893825443061614,1.0509467628512752,1,1.8282425633987187,-0.0019424381207454636,1.8856017589569092,3.075873374938965,782,0.07329557836055756,0.016215920448303223,0.1
RL,4,1.8282425633987187,-0.0019424381207454636,0.04800134897232056,9.821526417491537,1.0722990255700768,1,1.939850399031789,0.006364123811919221,2.0,3.14,767,0.01,0.023775741457939148,0.1
RL,5,1.939850399031789,0.006364123811919221,0.06638878583908081,8.832275038006813,0.989251379484724,1,1.811294826057927,-0.004923025260348383,1.8726112842559814,2.9759788513183594,800,0.011267811059951782,0.014212965965270996,0.1
RL,6,1.811294826057927,-0.004923025260348383,0.06672713160514832,7.8436936642305275,0.9885813737762854,1,1.7576208472377954,-0.008562488331280359,1.813694715499878,3.14,739,0.01,0.010753825306892395,0.1
RL,7,1.7576208472377954,-0.008562488331280359,0.06935909390449524,6.8443838080205355,0.999309856209992,1,1.7911471366151848,-0.017396189739070603,1.8415000438690186,3.128887891769409,800,0.01,0.01,0.1
RL,8,1.7911471366151848,-0.017396189739070603,0.056411564350128174,5.835857823042254,1.0085259849782817,1,1.804093694786323,-0.022605605845015305,1.8531663417816162,3.1084420680999756,793,0.01,0.040810950100421906,0.1
RL,9,1.804093694786323,-0.022605605845015305,0.1425887495279312,4.76310605939923,1.0727517636430237,1,2.002542973910655,-0.13403728326787875,2.0,2.873929262161255,800,0.01,0.02276398241519928,0.1425887495279312
