Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,vx_samples,vtheta_samples,path_distance_bias,goal_distance_bias,final_inflation
RL,0,-1.4624894662398743e-07,-0.0012147208637524297,0.13151536881923676,14.176638657824457,0.823380452453442,1,1.7770179837373659,0.004663975192948646,1.9859600067138672,3.193145275115967,12,12,-0.01573026180267334,1.0410820245742798,0.13151536881923676
RL,1,1.7770179837373659,0.004663975192948646,0.1636081337928772,13.119591872659777,1.0570467851646796,1,1.323728851518683,-0.06721708345373083,2.234163761138916,3.3973724842071533,11,13,0.025736451148986816,0.9481618404388428,0.1636081337928772
RL,2,1.323728851518683,-0.06721708345373083,0.07990452647209167,12.385008815280484,0.7345830573792931,1,0.8984776057399179,-0.4677678109820561,1.7501118183135986,2.7316319942474365,10,12,0.17995977401733398,1.6067891120910645,0.1
RL,3,0.8984776057399179,-0.4677678109820561,0.04172906279563904,12.0299439649779,0.3550648503025844,1,0.38068220413954157,-0.05654549914039848,1.831257939338684,3.5264084339141846,12,4,-0.1292056441307068,2.036877155303955,0.1
RL,4,0.38068220413954157,-0.05654549914039848,0.19117121398448944,11.86120391418224,0.1687400507956589,1,0.21341456451687174,-0.428487302377169,1.7422618865966797,3.2086052894592285,11,10,0.03381699323654175,1.0545238256454468,0.19117121398448944
RL,5,0.14255452272659627,-0.24746995511989672,0.08455690741539001,11.621899415857754,0.09693598531193182,1,0.19640732575316258,-0.04782388558368732,2.10670804977417,3.4566800594329834,12,8,0.4365960955619812,2.2489912509918213,0.1
RL,6,0.19640732575316258,-0.04782388558368732,0.3100256621837616,11.06895046249707,0.5529489533606853,1,1.8267294145163273,0.14074231104499899,1.8598679304122925,3.2766079902648926,11,20,0.12173676490783691,1.6832609176635742,0.3100256621837616
RL,7,1.8267294145163273,0.14074231104499899,0.5798112154006958,10.09012305458759,0.9788274079094794,1,1.7933729500109556,0.2637759974109765,2.1249301433563232,3.1688528060913086,11,10,0.10781073570251465,2.084390640258789,0.5798112154006958
RL,8,1.7953490308710445,0.28990657882450166,0.16832135617733002,9.01955250202526,1.0705705525623301,1,1.8069693683141737,0.010510552633495417,1.866816759109497,3.6068167686462402,11,24,0.3146194517612457,2.023447036743164,0.16832135617733002
RL,9,1.8069693683141737,0.010510552633495417,0.13555556535720825,7.934303172333322,1.0852493296919379,1,1.7943768751071079,0.051197191328506794,2.1228160858154297,3.296057939529419,11,13,0.1744205355644226,1.5610867738723755,0.13555556535720825
RL,0,6.140824622109602e-08,-0.0049331314256470336,0.12335662543773651,14.179322289564618,0.8206892820698091,1,1.8002479611388966,-0.0012542334752093142,2.085308790206909,2.7786779403686523,11,11,0.07651108503341675,1.4448935985565186,0.12335662543773651
RL,1,1.8002479611388966,-0.0012542334752093142,0.10546427965164185,13.087682606110446,1.0916396834541722,1,1.6806475268228633,-0.5348392088484022,2.0666537284851074,3.460864543914795,12,11,-0.07946830987930298,1.1541754007339478,0.10546427965164185
RL,2,1.6806475268228633,-0.5348392088484022,0.052014440298080444,12.194447776281505,0.8932348298289412,1,1.6462229220661002,-0.5162743891873767,2.199197769165039,3.3625330924987793,13,12,0.016305267810821533,1.091461420059204,0.1
RL,3,1.6462229220661002,-0.5162743891873767,0.0817393958568573,11.643554071148449,0.5508937051330562,1,0.3481227523949395,-0.038599265902961186,2.18558669090271,3.278235912322998,12,15,0.23589259386062622,1.2755059003829956,0.1
RL,4,0.1496852877191992,0.33534046411210333,0.19737212359905243,10.884319981227026,0.6295861270905618,1,0.6855318895412813,0.0033234332676118803,1.8972511291503906,2.703494071960449,11,14,-0.18394947052001953,1.8676902055740356,0.19737212359905243
RL,5,0.24733774504695846,0.3780817759613083,0.0594448447227478,10.26390262982966,0.7482293848653327,1,1.7885887703345569,0.35231378103913946,2.1532204151153564,3.229738235473633,12,4,0.026118099689483643,1.7748881578445435,0.1
RL,6,1.7885887703345569,0.35231378103913946,0.027688652276992798,9.238659091273416,1.0252435385562446,1,1.7815572887933597,0.22405299945608254,1.9532148838043213,3.0360729694366455,11,35,0.32001349329948425,2.0466551780700684,0.1
RL,7,1.7815572887933597,0.22405299945608254,0.07881113886833191,8.18820349903176,1.050455592241656,1,1.7645434202367467,0.08594394577536911,2.422116279602051,3.3570868968963623,10,15,0.12521415948867798,1.5673608779907227,0.1
RL,8,1.7645434202367467,0.08594394577536911,0.1224924772977829,7.127285618159324,1.0609178808724353,1,1.8069363689498446,0.01810003066797633,2.06813645362854,3.197968006134033,11,11,0.33384230732917786,0.5848751068115234,0.1
RL,9,1.8069363689498446,0.01810003066797633,0.21757206320762634,6.067975391984754,1.0593102261745706,1,1.7436366714344376,0.044133121444507914,1.7774195671081543,3.0415756702423096,11,15,-0.02890104055404663,1.0623818635940552,0.14472434845132576
RL,10,1.7436366714344376,0.044133121444507914,0.14819160103797913,5.005372491279329,1.062602900705425,1,1.756067171444062,0.007501840123737988,2.3045477867126465,3.621281623840332,10,20,-0.1934003233909607,0.9224652647972107,0.1
HB,11,1.7694290114682232,0.01190150531281053,0.05902549624443054,13.573766977689369,1.0721167107446217,1,1.755487488281137,-0.01167820336203634,2.0,0.0,19,24,-5.8591365814208984e-05,1.4399266242980957,0.1
HB,12,1.755487488281137,-0.01167820336203634,0.21191807091236115,12.509469530780187,1.0642974469091815,1,1.9060033614533727,-0.14457643749968555,1.9425561835251977,0.0,17,23,0.2780117988586426,1.0373313426971436,0.21191807091236115
HB,13,1.9060033614533727,-0.14457643749968555,0.06996670365333557,11.954878684293316,0.554590846486871,1,0.4726576531196461,-0.09040795474013011,1.513654480276055,0.41093693875214155,17,23,0.3043603003025055,1.4622482061386108,0.1783426496386528
HB,14,0.4726576531196461,-0.09040795474013011,0.14129213988780975,11.697675412429975,0.25720327186334124,1,0.3809634344027539,-0.003448283671805996,1.0851099761502825,0.7352704833653975,29,20,-0.1149415373802185,1.6945512294769287,0.16722749671339987
HB,15,0.3809634344027539,-0.003448283671805996,0.09730389714241028,11.525022596679598,0.17265281575037683,1,0.19950630505879288,-0.1369898338794195,0.8540354224528998,1.034886816332261,24,21,0.08593684434890747,1.82498037815094,0.1470592476993799
HB,16,0.1415312327560636,-0.20907415057789003,0.24684910476207733,11.332618086612195,0.07384317802424079,1,0.09350061200518049,-0.3191277749606454,1.0938217518472961,1.4500655500290378,15,28,0.10574287176132202,2.022096633911133,0.16711376280131934
HB,17,0.09350061200518049,-0.3191277749606454,0.4305288791656494,10.844995826576065,0.4876222600361295,1,1.1016049663856926,0.7071355067121893,0.6392019778480695,1.1744038984660492,15,31,0.2658548951148987,2.0434460639953613,0.23697963396092353
HB,18,1.1016049663856926,0.7071355067121893,0.451963871717453,10.460344409204374,0.38465141737169084,1,0.6306558860059209,0.09757102114804943,1.232484131071693,1.169820374523866,24,22,-0.1868329644203186,1.7592132091522217,0.2858857437726464
HB,19,0.6306558860059209,0.09757102114804943,0.18749277293682098,9.782919893920916,0.6774245152834588,1,1.2397179010165735,0.2147272978961792,1.8189291288234226,0.9229871017600767,22,22,0.045619845390319824,2.162680149078369,0.2563678525218988
HB,20,1.2397179010165735,0.2147272978961792,0.10214240849018097,8.754706061719038,1.0282138322018781,1,1.8208687218263828,0.0813001584889212,2.0,0.6460909712320536,24,20,0.21676909923553467,1.7825567722320557,0.21010021931238343
HB,21,1.8208687218263828,0.0813001584889212,0.1333889365196228,7.626540813484808,1.1281652482342297,1,1.756296202465123,0.05426061433908533,2.0,0.4522636798624375,24,20,0.11233770847320557,1.0137927532196045,0.18708683447455524
HB,22,1.756296202465123,0.05426061433908533,0.11488369107246399,6.565127870585101,1.0614129428997066,1,1.7575205738827206,0.0781926036464853,2.0,0.3165845759037062,15,35,0.11250913143157959,0.1137276291847229,0.16542589145392783
HB,23,1.7575205738827206,0.0781926036464853,0.06381630897521973,5.481539885965333,1.0835879846197685,1,1.7454888999136815,0.04099102416616983,2.0,0.22160920313259433,17,30,0.12305814027786255,1.4969775676727295,0.14579812401774947
HB,24,1.7454888999136815,0.04099102416616983,0.08471313118934631,4.344437364598746,1.1371025213665868,1,1.7928833740884307,-0.0004964603738928097,2.0,0.15512644219281602,20,28,0.09397584199905396,1.1322550773620605,0.3
RL,25,1.4542972616142282,-0.0016361707076858745,0.0844881534576416,13.717157454729701,1.0557662933439413,1,1.8064495759770856,-0.0049575514994097125,2.1861250400543213,2.8579399585723877,12,8,0.16605150699615479,1.131463885307312,0.1
RL,26,1.8064495759770856,-0.0049575514994097125,0.0738745927810669,12.50810811448341,1.2090493402462918,1,1.3999209120146505,-0.02674151453259643,2.1090455055236816,3.553710460662842,12,7,0.23979926109313965,1.1185346841812134,0.1
RL,27,1.3999209120146505,-0.02674151453259643,0.06850987672805786,11.96313533953607,0.5449727749473396,1,0.5849449289833131,-0.20613111774195497,2.124052047729492,2.6262259483337402,12,16,-0.04830867052078247,1.7238048315048218,0.1
RL,28,0.5849449289833131,-0.20613111774195497,0.11080226302146912,11.707373080883775,0.25576225865229496,1,0.19604667977521,-0.6309010362698093,2.104090690612793,3.1054739952087402,13,8,-0.09331458806991577,1.2178057432174683,0.11080226302146912
RL,0,-8.302886870272653e-08,-0.003582650145969807,0.07309964299201965,14.231007643832836,0.7690082681086245,1,1.7117342319077422,-0.004529501135267323,1.7069485187530518,2.685901165008545,12,19,0.09260314702987671,0.8999743461608887,0.1
RL,1,1.7117342319077422,-0.004529501135267323,0.0896349847316742,13.10007718626725,1.1309304575655865,1,1.619014603591671,-0.12595359766525743,2.1594910621643066,3.6247167587280273,11,16,0.09516239166259766,1.3103954792022705,0.1
RL,2,1.619014603591671,-0.12595359766525743,0.15486328303813934,12.43448849972769,0.665588686539559,1,0.9899926520036124,-0.2591068757540453,1.9496757984161377,3.0094475746154785,11,16,0.15657514333724976,1.3322467803955078,0.15486328303813934
RL,3,0.9899926520036124,-0.2591068757540453,0.10275864601135254,12.083295191714578,0.3511933080131122,1,0.4265296757643202,-0.355043465829208,2.2912659645080566,3.5103187561035156,11,7,0.10820555686950684,1.8468961715698242,0.10275864601135254
RL,4,0.4265296757643202,-0.355043465829208,0.16928592324256897,11.859055952692804,0.22423923902177378,1,0.28644925724666587,-0.28213564569311766,2.0903115272521973,3.474928379058838,11,11,-0.18492132425308228,1.3544933795928955,0.16928592324256897
