Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
RL,0,10,0,0.05000022619042234,-0.6582248878890665,success,8.417,world_97.world,7.792698468743293,0.5
HB,11,24,0,1.9920314756909414e-07,-1.2646369583410897,success,10.044,world_97.world,7.792698468743293,0.5
RL,0,11,0,2.3529406228375008e-07,-1.045166738349804,success,8.5,world_97.world,7.792698468743293,0.5
HB,12,23,0,0.052219568611078696,-0.3138139478915636,success,7.676000000000002,world_97.world,7.792698468743293,0.5
RL,24,47,0,0.3115880419237732,-26.62605754366089,success,23.307000000000002,world_97.world,7.792698468743293,0.3343501295208861
HB,48,61,0,0.03411534453830607,-1.2558974749964977,success,9.396999999999998,world_97.world,7.792698468743293,0.5
RL,62,72,0,2.3474172893386647e-07,-1.1235068369290382,success,8.527999999999999,world_97.world,7.792698468743293,0.5
HB,73,86,0,1.95694677946247e-07,-1.166167482246081,success,10.221999999999994,world_97.world,7.792698468743293,0.5
RL,87,108,0,0.30456859852095447,-22.978042816453282,success,19.706999999999994,world_97.world,7.792698468743293,0.39542794279917265
HB,109,128,0,0.162043917949793,-7.4038757024534885,success,13.712999999999994,world_97.world,7.792698468743293,0.5
RL,0,12,0,0.05463205353157874,-0.5995010404982264,success,8.435999999999998,world_97.world,7.792698468743293,0.5
HB,13,26,0,1.9762841944102384e-07,-0.8443655031361723,success,10.136,world_97.world,7.792698468743293,0.5
RL,27,44,0,0.26886298949383747,-15.269322052861305,success,18.833000000000002,world_97.world,7.792698468743293,0.4137789236310355
HB,45,57,0,0.0022323655731326846,-0.7983936842950282,success,8.975999999999999,world_97.world,7.792698468743293,0.5
RL,58,68,0,0.016901685379806936,-0.3652867431994206,success,7.103000000000009,world_97.world,7.792698468743293,0.5
HB,69,81,0,1.9342356026623595e-07,-1.3055955892341407,success,10.343999999999994,world_97.world,7.792698468743293,0.5
RL,82,104,2,0.3037858445257761,-18.578277345279496,success,21.668999999999997,world_97.world,7.792698468743293,0.0
HB,105,122,0,0.08702304014915418,-7.41891477636225,success,13.114000000000004,world_97.world,7.792698468743293,0.5
RL,123,136,0,0.0806755946199635,-2.2397869981538103,success,10.675000000000011,world_97.world,7.792698468743293,0.5
HB,137,149,0,2.132195707420958e-07,-1.5713848866706377,success,9.40100000000001,world_97.world,7.792698468743293,0.5
RL,150,161,0,0.14871816699534182,-1.323295557232763,success,7.819000000000017,world_97.world,7.792698468743293,0.5
HB,162,174,0,2.12314179975758e-07,-1.38803145810828,success,9.437000000000012,world_97.world,7.792698468743293,0.5
RL,175,186,0,0.16791060300175317,-10.114127604210474,success,10.72399999999999,world_97.world,7.792698468743293,0.5
HB,187,207,0,0.11868697996376516,-7.81857606496315,success,15.857,world_97.world,7.792698468743293,0.4914358623159042
RL,208,231,0,0.16752588047346903,-7.6665287002825195,success,15.528999999999996,world_97.world,7.792698468743293,0.5
HB,232,247,0,0.0658785361691662,-2.741961256030293,success,11.843999999999994,world_97.world,7.792698468743293,0.5
RL,248,259,0,2.267573181956195e-07,-1.533812489664129,success,8.829000000000008,world_97.world,7.792698468743293,0.5
HB,260,273,0,1.953124618530348e-07,-1.2490139025321176,success,10.257000000000005,world_97.world,7.792698468743293,0.5
RL,274,284,0,0.0024632998858867276,-1.004527715894406,success,8.12700000000001,world_97.world,7.792698468743293,0.5
HB,285,297,0,2.127659121774655e-07,-1.0156991226040748,success,9.405000000000001,world_97.world,7.792698468743293,0.5
RL,298,308,0,2.624671227120413e-07,-0.5964852679997984,success,7.619,world_97.world,7.792698468743293,0.5
HB,309,322,0,0.013483367756546571,-0.5053760962301168,success,8.912999999999982,world_97.world,7.792698468743293,0.5
RL,323,335,0,2.2624429270491117e-07,-1.2782831239539953,success,8.844999999999999,world_97.world,7.792698468743293,0.5
HB,336,353,0,0.058371880434426975,-3.4920584053508703,success,13.018999999999949,world_97.world,7.792698468743293,0.5
RL,354,365,0,2.2935774556015012e-07,-1.4527044577180053,success,8.725999999999999,world_97.world,7.792698468743293,0.5
HB,366,380,0,1.8621970461458015e-07,-1.358824715167589,success,10.745000000000005,world_97.world,7.792698468743293,0.5
RL,381,391,0,2.6737960765251136e-07,-0.7439886212334542,success,7.498999999999967,world_97.world,7.792698468743293,0.5
HB,392,411,0,0.1315454493556259,-7.914090629948367,success,15.659999999999968,world_97.world,7.792698468743293,0.49761803759535816
RL,412,422,0,2.604165988498441e-07,-0.7407769316141866,success,7.675000000000011,world_97.world,7.792698468743293,0.5
HB,423,443,0,0.11469083573571705,-2.6501942960257843,success,15.519999999999982,world_97.world,7.792698468743293,0.5
RL,444,454,0,2.631578254847828e-07,-0.8795591376955785,success,7.608000000000004,world_97.world,7.792698468743293,0.5
HB,455,466,0,2.1929819752232513e-07,-1.0572380447576488,success,9.129999999999995,world_97.world,7.792698468743293,0.5
RL,467,478,0,2.2727267561984647e-07,-1.2547708458928395,success,8.822000000000003,world_97.world,7.792698468743293,0.5
HB,479,492,0,1.9841265904510736e-07,-1.6352251928489188,success,10.08499999999998,world_97.world,7.792698468743293,0.5
