Test: Collision: 0, Recovery: 0.007362, Smoothness: -0.645647, Status: success, Time: 16.305 , Reward: 149.245, Opt_time: 8.558 , Nav_Metric: 0.500 , World: world_0.world
Test: Collision: 3, Recovery: 0.217136, Smoothness: -1.148944, Status: collision, Time: 17.054 , Reward: -132.135, Opt_time: 8.558 , Nav_Metric: 0.000 , World: world_0.world
Test: Collision: 2, Recovery: 0.169118, Smoothness: -0.747898, Status: collision, Time: 13.613 , Reward: -132.755, Opt_time: 8.558 , Nav_Metric: 0.000 , World: world_0.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.635176, Status: success, Time: 14.245 , Reward: 155.323, Opt_time: 8.086 , Nav_Metric: 0.500 , World: world_6.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.646546, Status: success, Time: 13.710 , Reward: 151.621, Opt_time: 8.086 , Nav_Metric: 0.500 , World: world_6.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.630308, Status: success, Time: 13.466 , Reward: 145.550, Opt_time: 8.086 , Nav_Metric: 0.500 , World: world_6.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.107335, Status: success, Time: 17.077 , Reward: 156.552, Opt_time: 8.165 , Nav_Metric: 0.478 , World: world_12.world
Test: Collision: 3, Recovery: 0.381462, Smoothness: -2.614471, Status: collision, Time: 11.966 , Reward: -158.777, Opt_time: 8.165 , Nav_Metric: 0.000 , World: world_12.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.661971, Status: success, Time: 14.935 , Reward: 156.567, Opt_time: 8.165 , Nav_Metric: 0.500 , World: world_12.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.264620, Status: success, Time: 14.020 , Reward: 154.579, Opt_time: 8.200 , Nav_Metric: 0.500 , World: world_18.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.247961, Status: success, Time: 13.913 , Reward: 153.510, Opt_time: 8.200 , Nav_Metric: 0.500 , World: world_18.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.222275, Status: success, Time: 13.431 , Reward: 148.338, Opt_time: 8.200 , Nav_Metric: 0.500 , World: world_18.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.232219, Status: success, Time: 15.330 , Reward: 157.073, Opt_time: 8.330 , Nav_Metric: 0.500 , World: world_24.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.378705, Status: success, Time: 16.517 , Reward: 149.971, Opt_time: 8.330 , Nav_Metric: 0.500 , World: world_24.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.451275, Status: success, Time: 17.152 , Reward: 147.784, Opt_time: 8.330 , Nav_Metric: 0.486 , World: world_24.world
Test: Collision: 2, Recovery: 0.325065, Smoothness: -2.817082, Status: collision, Time: 16.803 , Reward: -151.206, Opt_time: 8.335 , Nav_Metric: 0.000 , World: world_30.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -3.738505, Status: success, Time: 22.016 , Reward: 152.587, Opt_time: 8.335 , Nav_Metric: 0.379 , World: world_30.world
Test: Collision: 3, Recovery: 0.062577, Smoothness: -10.337607, Status: collision, Time: 53.198 , Reward: -140.195, Opt_time: 8.335 , Nav_Metric: 0.000 , World: world_30.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.273387, Status: success, Time: 13.531 , Reward: 153.953, Opt_time: 7.866 , Nav_Metric: 0.500 , World: world_36.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.436954, Status: success, Time: 13.231 , Reward: 152.492, Opt_time: 7.866 , Nav_Metric: 0.500 , World: world_36.world
Test: Collision: 0, Recovery: 0.001698, Smoothness: -0.232713, Status: success, Time: 12.535 , Reward: 143.419, Opt_time: 7.866 , Nav_Metric: 0.500 , World: world_36.world
Test: Collision: 0, Recovery: 0.002117, Smoothness: -3.217641, Status: success, Time: 20.605 , Reward: 151.239, Opt_time: 8.079 , Nav_Metric: 0.392 , World: world_42.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.026656, Status: success, Time: 15.683 , Reward: 146.485, Opt_time: 8.079 , Nav_Metric: 0.500 , World: world_42.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.063524, Status: success, Time: 14.177 , Reward: 142.622, Opt_time: 8.079 , Nav_Metric: 0.500 , World: world_42.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.352924, Status: success, Time: 14.136 , Reward: 153.354, Opt_time: 7.724 , Nav_Metric: 0.500 , World: world_48.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.415159, Status: success, Time: 13.413 , Reward: 147.883, Opt_time: 7.724 , Nav_Metric: 0.500 , World: world_48.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.617381, Status: success, Time: 13.785 , Reward: 148.183, Opt_time: 7.724 , Nav_Metric: 0.500 , World: world_48.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.211040, Status: success, Time: 13.741 , Reward: 156.551, Opt_time: 7.937 , Nav_Metric: 0.500 , World: world_54.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.179962, Status: success, Time: 13.031 , Reward: 145.963, Opt_time: 7.937 , Nav_Metric: 0.500 , World: world_54.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.156376, Status: success, Time: 13.145 , Reward: 142.498, Opt_time: 7.937 , Nav_Metric: 0.500 , World: world_54.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.780511, Status: success, Time: 14.448 , Reward: 152.842, Opt_time: 8.179 , Nav_Metric: 0.500 , World: world_60.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.801428, Status: success, Time: 15.051 , Reward: 145.379, Opt_time: 8.179 , Nav_Metric: 0.500 , World: world_60.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.670088, Status: success, Time: 13.678 , Reward: 144.645, Opt_time: 8.179 , Nav_Metric: 0.500 , World: world_60.world
