Test: Collision: 0, Recovery: 0.081776, Smoothness: -2.813313, Status: success, Time: 8.563 , Reward: 151.566, Opt_time: 8.558 , Nav_Metric: 0.500 , World: world_0.world
Test: Collision: 0, Recovery: 0.157191, Smoothness: -4.250237, Status: success, Time: 11.976 , Reward: 155.794, Opt_time: 8.558 , Nav_Metric: 0.500 , World: world_0.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.199722, Status: success, Time: 6.973 , Reward: 150.092, Opt_time: 7.703 , Nav_Metric: 0.500 , World: world_13.world
Test: Collision: 0, Recovery: 0.033426, Smoothness: -0.317856, Status: success, Time: 7.192 , Reward: 156.134, Opt_time: 7.703 , Nav_Metric: 0.500 , World: world_13.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.637618, Status: success, Time: 7.905 , Reward: 153.988, Opt_time: 7.703 , Nav_Metric: 0.500 , World: world_13.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.224469, Status: success, Time: 6.360 , Reward: 146.156, Opt_time: 7.703 , Nav_Metric: 0.500 , World: world_13.world
Test: Collision: 0, Recovery: 0.257459, Smoothness: -13.058163, Status: success, Time: 18.757 , Reward: 149.436, Opt_time: 8.086 , Nav_Metric: 0.431 , World: world_14.world
Test: Collision: 0, Recovery: 0.208531, Smoothness: -2.719023, Status: success, Time: 13.218 , Reward: 147.200, Opt_time: 8.086 , Nav_Metric: 0.500 , World: world_14.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.412283, Status: success, Time: 7.330 , Reward: 157.328, Opt_time: 7.703 , Nav_Metric: 0.500 , World: world_13.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.456503, Status: success, Time: 7.581 , Reward: 153.114, Opt_time: 7.703 , Nav_Metric: 0.500 , World: world_13.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.692397, Status: success, Time: 8.687 , Reward: 157.910, Opt_time: 7.972 , Nav_Metric: 0.500 , World: world_246.world
Test: Collision: 0, Recovery: 0.006438, Smoothness: -2.346389, Status: success, Time: 9.339 , Reward: 151.469, Opt_time: 7.972 , Nav_Metric: 0.500 , World: world_246.world
Test: Collision: 0, Recovery: 0.095057, Smoothness: -5.497706, Status: success, Time: 16.311 , Reward: 149.489, Opt_time: 8.575 , Nav_Metric: 0.500 , World: world_258.world
Test: Collision: 0, Recovery: 0.127049, Smoothness: -5.414541, Status: success, Time: 15.271 , Reward: 149.365, Opt_time: 7.691 , Nav_Metric: 0.500 , World: world_264.world
Test: Collision: 0, Recovery: 0.147147, Smoothness: -3.433932, Status: success, Time: 13.837 , Reward: 153.389, Opt_time: 7.691 , Nav_Metric: 0.500 , World: world_264.world
Test: Collision: 0, Recovery: 0.220473, Smoothness: -10.846498, Status: success, Time: 21.485 , Reward: 150.659, Opt_time: 8.016 , Nav_Metric: 0.373 , World: world_270.world
Test: Collision: 0, Recovery: 0.284622, Smoothness: -11.243642, Status: success, Time: 24.646 , Reward: 146.570, Opt_time: 8.016 , Nav_Metric: 0.325 , World: world_270.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.010640, Status: success, Time: 9.208 , Reward: 154.072, Opt_time: 8.130 , Nav_Metric: 0.500 , World: world_276.world
Test: Collision: 0, Recovery: 0.058700, Smoothness: -0.588938, Status: success, Time: 10.021 , Reward: 152.279, Opt_time: 8.130 , Nav_Metric: 0.500 , World: world_276.world
Test: Collision: 0, Recovery: 0.052301, Smoothness: -0.937580, Status: success, Time: 10.328 , Reward: 153.902, Opt_time: 8.091 , Nav_Metric: 0.500 , World: world_282.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.273948, Status: success, Time: 6.791 , Reward: 147.400, Opt_time: 8.091 , Nav_Metric: 0.500 , World: world_282.world
