Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
VLM,0,199,0,0.4373253969579923,-361.93669344506804,timeout,107.38499999999999,world_299.world,8.407246218783108,0.0
VLM,0,199,0,0.5272828595530279,-365.0374648028396,timeout,107.777,world_299.world,8.407246218783108,0.0
VLM,0,199,0,0.8387455958666618,-349.6588494590843,timeout,107.78999999999999,world_299.world,8.407246218783108,0.0
VLM,0,12,0,2.8490020373213575e-07,-1.0607889508408548,success,7.035999999999998,world_298.world,7.998182157301491,0.5
VLM,0,21,0,0.13728828181554548,-7.295702652852869,success,11.814,world_298.world,7.998182157301491,0.5
VLM,0,12,0,2.8985498844782945e-07,-1.0417251402450383,success,6.916,world_298.world,7.998182157301491,0.5
VLM,0,17,0,0.020576333214746254,-1.3362667244610948,success,9.735,world_297.world,7.826528565435303,0.5
VLM,0,19,0,1.8726588253447895e-07,-1.276850082288723,success,10.690000000000001,world_297.world,7.826528565435303,0.5
VLM,0,20,0,1.7761986187924301e-07,-1.3764909223717672,success,11.274000000000001,world_297.world,7.826528565435303,0.5
VLM,0,18,0,1.9841265904510736e-07,-0.778931693405405,success,10.084000000000001,world_296.world,7.77842316226422,0.5
VLM,0,21,0,0.1331059499819198,-3.1486344056045357,success,11.734999999999998,world_296.world,7.77842316226422,0.5
VLM,0,20,0,0.021239111285113046,-1.1872931869473922,success,11.307999999999998,world_296.world,7.77842316226422,0.5
VLM,0,35,0,0.0640496834659418,-12.526494252287916,success,19.361,world_295.world,8.500779295370204,0.4390671605480194
VLM,0,92,0,0.6284349012968975,-59.88796916407247,success,50.224999999999994,world_295.world,8.500779295370204,0.16925394316316983
VLM,0,40,0,0.15630720691890249,-18.94838647882357,success,21.880999999999997,world_295.world,8.500779295370204,0.38850049336731435
VLM,0,199,0,0.49547052143703973,-364.45428627150574,timeout,108.191,world_294.world,8.261333769311195,0.0
VLM,0,199,0,0.4789806644534847,-365.03088097371614,timeout,107.531,world_294.world,8.261333769311195,0.0
VLM,0,50,0,0.4616508793534785,-33.109743142183774,success,27.379999999999995,world_294.world,8.261333769311195,0.30172877170603346
VLM,0,199,0,0.5108675550646934,-507.97364775426547,timeout,107.679,world_293.world,7.997672131399035,0.0
VLM,0,62,3,0.43400716801384254,-35.715812037714336,success,33.647000000000006,world_293.world,7.997672131399035,0.0
VLM,0,34,0,0.20550855873850013,-15.767393510797067,success,18.894999999999996,world_293.world,7.997672131399035,0.4232692316167789
VLM,0,11,0,3.1249990234378054e-07,-0.9505810259575057,success,6.408000000000001,world_292.world,9.189719208423899,0.5
VLM,0,11,0,3.154573137358632e-07,-0.9003980064738928,success,6.341999999999999,world_292.world,9.189719208423899,0.5
VLM,0,10,0,3.333332222222593e-07,-0.788130836112389,success,6.005000000000001,world_292.world,9.189719208423899,0.5
VLM,0,199,0,0.6275773264437164,-342.1946671653459,timeout,108.641,world_291.world,8.268512621393903,0.0
VLM,0,199,0,0.558410359363949,-383.4645181161616,timeout,108.215,world_291.world,8.268512621393903,0.0
VLM,0,199,0,0.4363434597271751,-384.0101943079184,timeout,108.086,world_291.world,8.268512621393903,0.0
VLM,0,11,0,3.1446530991656923e-07,-0.5249069736717697,success,6.375000000000002,world_290.world,7.731003683421283,0.5
VLM,0,12,0,2.85714204081656e-07,-0.615573854226152,success,7.003000000000002,world_290.world,7.731003683421283,0.5
VLM,0,11,0,3.0674837216307606e-07,-0.5551215727714434,success,6.535000000000002,world_290.world,7.731003683421283,0.5
VLM,0,12,0,2.8490020373213575e-07,-0.6672612410070345,success,7.029000000000002,world_289.world,7.884942331552407,0.5
VLM,0,13,0,2.5906729039707504e-07,-0.5561757710527995,success,7.720999999999998,world_289.world,7.884942331552407,0.5
VLM,0,12,0,2.9154510450580044e-07,-0.559581261406277,success,6.861000000000001,world_289.world,7.884942331552407,0.5
VLM,0,19,0,1.8382349562068098e-07,-1.230264001970462,success,10.886,world_288.world,7.676966908159272,0.5
VLM,0,13,0,2.6737960765251136e-07,-1.1463330061192378,success,7.489000000000001,world_288.world,7.676966908159272,0.5
VLM,0,19,0,0.009259442729732828,-1.196286228155591,success,10.823000000000002,world_288.world,7.676966908159272,0.5
VLM,0,19,0,1.8552872253641513e-07,-2.5084721875445433,success,10.781,world_287.world,8.433999179342374,0.5
VLM,0,199,0,0.943766186759782,-108.0408226310599,timeout,108.134,world_287.world,8.433999179342374,0.0
VLM,0,21,0,0.09230784746874403,-7.6984601701554265,success,11.716000000000001,world_287.world,8.433999179342374,0.5
VLM,0,98,0,0.7863024032072454,-37.856074896326675,success,53.458000000000006,world_286.world,8.085594036502888,0.15125133818143005
VLM,0,11,0,3.1249990234378054e-07,-0.5115878802300112,success,6.416,world_286.world,8.085594036502888,0.5
VLM,0,117,0,0.8396108022721029,-9.949597030603522,success,63.730000000000004,world_286.world,8.085594036502888,0.12687265081598756
VLM,0,19,0,1.8726588253447895e-07,-2.0856067244840806,success,10.682000000000002,world_285.world,8.657291412439974,0.5
VLM,0,199,0,0.9132990464125819,-33.23524190129272,timeout,108.882,world_285.world,8.657291412439974,0.0
VLM,0,73,2,0.666833183474866,-14.625447051053461,success,40.058,world_285.world,8.657291412439974,0.0
VLM,0,11,0,3.058103040335462e-07,-0.5967665106593826,success,6.539,world_284.world,7.85639571685466,0.5
VLM,0,11,0,3.105589097643138e-07,-0.547364998462355,success,6.444000000000001,world_284.world,7.85639571685466,0.5
VLM,0,11,0,3.0769221301778066e-07,-0.5957664779802834,success,6.511000000000001,world_284.world,7.85639571685466,0.5
VLM,0,13,0,2.6666659555557455e-07,-0.7526369777720036,success,7.5169999999999995,world_283.world,8.025752695075083,0.5
VLM,0,15,0,2.3148142789781765e-07,-0.7820736378121691,success,8.636000000000001,world_283.world,8.025752695075083,0.5
VLM,0,17,0,2.0746883662472272e-07,-0.8458500692189278,success,9.651,world_283.world,8.025752695075083,0.5
VLM,0,11,0,3.1446530991656923e-07,-0.25864405938213847,success,6.377000000000001,world_282.world,8.091436813921078,0.5
VLM,0,11,0,3.134795255550077e-07,-0.2656502045063613,success,6.388000000000002,world_282.world,8.091436813921078,0.5
VLM,0,11,0,3.0674837216307606e-07,-0.26982304107876137,success,6.529,world_282.world,8.091436813921078,0.5
VLM,0,19,0,0.33712133766641333,-6.389608898974232,success,10.565,world_281.world,7.753104122766794,0.5
VLM,0,21,0,0.345177775773642,-6.736581412026,success,11.825,world_281.world,7.753104122766794,0.5
VLM,0,13,0,2.6666659555557455e-07,-0.4197925006347312,success,7.506000000000002,world_281.world,7.753104122766794,0.5
VLM,0,13,0,2.6595737607516596e-07,-1.02208711599969,success,7.5329999999999995,world_280.world,7.906981912732345,0.5
VLM,0,14,0,2.487561570258316e-07,-1.2363706429930226,success,8.052,world_280.world,7.906981912732345,0.5
VLM,0,13,0,2.6385217312607574e-07,-1.1001925147166316,success,7.579000000000001,world_280.world,7.906981912732345,0.5
VLM,0,34,0,0.014941407156733495,-8.126895862885622,success,18.752000000000002,world_279.world,8.141257752809178,0.4341541037120935
VLM,0,199,0,0.48261835276223464,-479.2798926051268,timeout,108.173,world_279.world,8.141257752809178,0.0
VLM,0,147,0,0.5425425539904266,-217.64680848928842,success,79.92099999999999,world_279.world,8.141257752809178,0.125
VLM,0,199,0,0.8758531659130573,-196.9207389964403,timeout,108.421,world_278.world,8.04702608075498,0.0
VLM,0,65,0,0.582633076603189,-28.97731828946148,success,35.71,world_278.world,8.04702608075498,0.2253437715137211
VLM,0,161,0,0.8361028946937652,-141.29103383467643,success,87.867,world_278.world,8.04702608075498,0.125
VLM,0,15,0,2.3419198262482846e-07,-1.8290184304387287,success,8.55,world_277.world,8.48636998300088,0.5
VLM,0,39,0,0.4868914338116635,-23.668201244121708,success,21.375999999999998,world_277.world,8.48636998300088,0.3970045837855951
VLM,0,17,0,0.02910623095504554,-1.595630616743489,success,9.626000000000001,world_277.world,8.48636998300088,0.5
VLM,0,11,0,3.115263827020615e-07,-0.17411428385276861,success,6.423,world_276.world,8.129771498092264,0.5
VLM,0,12,0,2.9154510450580044e-07,-0.33829838120183553,success,6.875,world_276.world,8.129771498092264,0.5
VLM,0,122,0,0.854010217662655,-15.07618861913362,success,66.581,world_276.world,8.129771498092264,0.125
VLM,0,54,0,0.6700336922536234,-20.303744498812758,success,29.717999999999996,world_275.world,8.302841434323229,0.27938762481739116
VLM,0,21,0,0.1365189186827784,-2.392750094158798,success,11.721,world_275.world,8.302841434323229,0.5
VLM,0,17,0,2.092049771537705e-07,-2.1707486625537875,success,9.573,world_275.world,8.302841434323229,0.5
VLM,0,199,0,0.950137995397645,-104.7417581382307,timeout,108.718,world_274.world,7.861005519926587,0.0
VLM,0,34,0,0.03319068167123323,-9.209937454423406,success,18.697000000000003,world_274.world,7.861005519926587,0.4204420773346839
VLM,0,199,0,0.944775010324005,-304.0273489552047,timeout,107.566,world_274.world,7.861005519926587,0.0
VLM,0,22,0,1.6181227155141238e-07,-1.1810910937448666,success,12.369,world_273.world,8.165814212170682,0.5
VLM,0,21,0,1.686340356435016e-07,-1.1165819273251758,success,11.867,world_273.world,8.165814212170682,0.5
VLM,0,22,0,1.6207452802681882e-07,-1.2467124538651355,success,12.346,world_273.world,8.165814212170682,0.5
VLM,0,12,0,2.8328603872916754e-07,-0.5625585503900771,success,7.077999999999999,world_272.world,7.9472629195098925,0.5
VLM,0,13,0,0.03217184124079323,-0.8085781246289399,success,7.478,world_272.world,7.9472629195098925,0.5
VLM,0,12,0,2.8735623926544855e-07,-0.5425938468106696,success,6.975999999999999,world_272.world,7.9472629195098925,0.5
VLM,0,54,0,0.6786666880888874,-9.132614741142568,success,30.001999999999995,world_271.world,7.8721324090909235,0.2623869211749525
VLM,0,126,4,0.9371896016012387,-8.79083381029173,collision,68.472,world_271.world,7.8721324090909235,0.0
VLM,0,199,0,0.9751713919738486,-88.19527024046924,timeout,107.954,world_271.world,7.8721324090909235,0.0
VLM,0,21,0,1.694914966963565e-07,-1.9551820771700947,success,11.808000000000002,world_270.world,8.0158028015772,0.5
VLM,0,8,3,0.24793419506851444,-0.6840172812535241,collision,4.846999999999998,world_270.world,8.0158028015772,0.0
VLM,0,24,0,1.497005763921293e-07,-2.1088674133738747,success,13.370000000000001,world_270.world,8.0158028015772,0.5
VLM,0,133,1,0.8024965380722181,-90.8870390973378,success,72.103,world_269.world,8.393662666578876,0.0
VLM,0,24,0,0.13075793005082764,-4.878178261946747,success,13.460999999999999,world_269.world,8.393662666578876,0.5
VLM,0,100,0,0.7619912877183399,-54.5954897284895,success,55.041000000000004,world_269.world,8.393662666578876,0.15249836788174045
VLM,0,49,0,0.5277572518314395,-18.77133324008108,success,27.034000000000002,world_268.world,7.825330424845294,0.2894625443828251
VLM,0,29,0,0.2624379026818529,-6.872618049660998,success,16.087,world_268.world,7.825330424845294,0.4864381441440476
VLM,0,82,1,0.7021085822293143,-25.983756520103633,success,44.597,world_268.world,7.825330424845294,0.0
VLM,0,10,0,3.378377237034718e-07,-0.48698617516420484,success,5.933999999999999,world_267.world,7.767884282048531,0.5
