Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
VLM,0,16,0,2.197801714768854e-07,-1.0593569281501005,success,9.102,world_165.world,8.611369784443538,0.5
VLM,0,115,0,0.6288000118783996,-130.4187035690995,success,62.50600000000001,world_299.world,8.407246218783108,0.13450302720991755
VLM,0,119,0,0.8397773015843705,-92.8822884147554,timeout,64.686,world_299.world,8.407246218783108,0.0
VLM,0,10,2,0.22789141908455135,-3.3360050847499934,collision,5.887999999999998,world_298.world,7.998182157301491,0.0
VLM,0,18,0,0.09664712097689923,-2.597544932651978,success,10.152999999999999,world_298.world,7.998182157301491,0.5
VLM,0,26,0,0.2482664010726212,-7.711211909181606,success,14.43,world_297.world,7.826528565435303,0.5
VLM,0,17,0,2.0746883662472272e-07,-1.391027884000987,success,9.653,world_297.world,7.826528565435303,0.5
VLM,0,45,0,0.46558708780671354,-27.97201311598855,success,24.712,world_296.world,7.77842316226422,0.314762996206872
VLM,0,76,0,0.7481910396434616,-42.38481723250164,success,41.474999999999994,world_296.world,7.77842316226422,0.1875448622607407
VLM,0,34,0,0.20732992593403918,-23.902182843265948,success,19.108999999999998,world_295.world,8.500779295370204,0.4448573601638079
VLM,0,38,0,0.2445081905913858,-26.83482245499883,success,20.955,world_295.world,8.500779295370204,0.4056683032865762
VLM,0,18,0,1.9455249133220014e-07,-2.639606353361842,success,10.298,world_294.world,8.261333769311195,0.5
VLM,0,32,0,0.34719108458527137,-14.893483652650454,success,17.814999999999998,world_294.world,8.261333769311195,0.4637290917379285
VLM,0,108,0,0.7371816727612336,-40.64220724077061,success,58.92,world_293.world,7.997672131399035,0.13573781621519068
VLM,0,119,0,0.8857852301121902,-18.012480258479055,timeout,64.44999999999999,world_293.world,7.997672131399035,0.0
VLM,0,14,0,2.4999993750001564e-07,-0.9647820093645543,success,8.018999999999998,world_292.world,9.189719208423899,0.5
VLM,0,14,0,2.4999993750001564e-07,-0.9106606197245867,success,8.002,world_292.world,9.189719208423899,0.5
VLM,0,105,0,0.41916378330439774,-76.62336939813633,success,57.413000000000004,world_291.world,8.268512621393903,0.14401812518756907
VLM,0,119,0,0.4217645428292486,-217.6782800698328,timeout,65.076,world_291.world,8.268512621393903,0.0
VLM,0,14,0,2.4999993750001564e-07,-0.5329415088041706,success,8.002,world_290.world,7.731003683421283,0.5
VLM,0,14,0,2.469135192806125e-07,-0.5367283606821711,success,8.12,world_290.world,7.731003683421283,0.5
VLM,0,15,0,2.3201850765231844e-07,-0.698293736680152,success,8.633000000000001,world_289.world,7.884942331552407,0.5
VLM,0,15,0,2.3419198262482846e-07,-0.6552856803655966,success,8.548999999999998,world_289.world,7.884942331552407,0.5
VLM,0,16,0,2.2075050314558433e-07,-1.2361702784500905,success,9.065000000000001,world_288.world,7.676966908159272,0.5
VLM,0,16,0,2.197801714768854e-07,-1.2882362019305946,success,9.119000000000002,world_288.world,7.676966908159272,0.5
VLM,0,46,1,0.4681854306217258,-33.624269934790554,success,25.473999999999997,world_287.world,8.433999179342374,0.0
VLM,0,42,0,0.4051282559719439,-33.13930022348051,success,23.401,world_287.world,8.433999179342374,0.3604119131380015
VLM,0,15,0,2.3364480522317638e-07,-0.589939850756663,success,8.575,world_286.world,8.085594036502888,0.5
VLM,0,15,0,2.3419198262482846e-07,-0.5813427561352063,success,8.559000000000001,world_286.world,8.085594036502888,0.5
VLM,0,17,0,2.0618552449783002e-07,-1.493072123682588,success,9.71,world_285.world,8.657291412439974,0.5
VLM,0,17,0,2.0833328993056462e-07,-1.3734135875226483,success,9.605999999999998,world_285.world,8.657291412439974,0.5
VLM,0,14,0,2.481388962434501e-07,-0.5975127164908398,success,8.073000000000002,world_284.world,7.85639571685466,0.5
VLM,0,14,0,2.4999993750001564e-07,-0.5790249967707506,success,8.020000000000001,world_284.world,7.85639571685466,0.5
VLM,0,15,0,2.3094682888064e-07,-0.9128135057209474,success,8.662,world_283.world,8.025752695075083,0.5
VLM,0,15,0,2.3310017876452712e-07,-1.0367268821027393,success,8.595,world_283.world,8.025752695075083,0.5
VLM,0,14,0,2.469135192806125e-07,-0.3345348775083073,success,8.118,world_282.world,8.091436813921078,0.5
VLM,0,14,0,2.5062650360238006e-07,-0.33696410698623375,success,7.984999999999999,world_282.world,8.091436813921078,0.5
VLM,0,19,0,0.009157690630459592,-0.2690350758877936,success,10.931000000000001,world_281.world,7.753104122766794,0.5
VLM,0,19,0,1.8656712937180424e-07,-0.29308465711198434,success,10.734999999999998,world_281.world,7.753104122766794,0.5
VLM,0,17,0,2.092049771537705e-07,-1.2784336537496324,success,9.559999999999999,world_280.world,7.906981912732345,0.5
VLM,0,17,0,2.0790016467772047e-07,-1.4247390377333786,success,9.633000000000001,world_280.world,7.906981912732345,0.5
VLM,0,25,0,0.0057888558916272224,-6.622363638774196,success,13.819999999999999,world_279.world,8.141257752809178,0.5
VLM,0,30,1,0.12183364030957294,-11.217064100151084,success,16.586,world_279.world,8.141257752809178,0.0
VLM,0,77,0,0.6839107886136312,-40.417182671622754,success,42.144,world_278.world,8.04702608075498,0.19094120351070096
VLM,0,119,0,0.8703703743712847,-36.10852792966866,timeout,64.81099999999999,world_278.world,8.04702608075498,0.0
VLM,0,18,0,1.9685035495071754e-07,-1.5832641848329636,success,10.171000000000001,world_277.world,8.48636998300088,0.5
VLM,0,16,0,2.164501695995304e-07,-1.4007258483481801,success,9.258,world_277.world,8.48636998300088,0.5
VLM,0,14,0,2.5062650360238006e-07,-0.20941032508542787,success,7.996,world_276.world,8.129771498092264,0.5
VLM,0,14,0,2.469135192806125e-07,-0.2157778793045049,success,8.116999999999999,world_276.world,8.129771498092264,0.5
VLM,0,15,0,2.3364480522317638e-07,-1.1449384879013318,success,8.563,world_275.world,8.302841434323229,0.5
VLM,0,15,0,2.3094682888064e-07,-1.4608692453337193,success,8.678999999999998,world_275.world,8.302841434323229,0.5
VLM,0,119,0,0.4594345587143651,-162.75755463755536,timeout,65.086,world_274.world,7.861005519926587,0.0
VLM,0,59,0,0.37982569241434044,-20.091655980501738,success,32.126,world_274.world,7.861005519926587,0.24469294403058542
VLM,0,119,0,0.9266563967132081,-10.42068316091558,timeout,64.911,world_273.world,8.165814212170682,0.0
VLM,0,25,0,0.2525108676454996,-7.333829581434088,success,13.944999999999999,world_273.world,8.165814212170682,0.5
VLM,0,14,0,2.487561570258316e-07,-0.5146380395480372,success,8.044999999999998,world_272.world,7.9472629195098925,0.5
VLM,0,14,0,2.4999993750001564e-07,-0.4953624200697702,success,8.003,world_272.world,7.9472629195098925,0.5
VLM,0,15,0,2.3419198262482846e-07,-0.7007352317097535,success,8.558000000000002,world_271.world,7.8721324090909235,0.5
VLM,0,19,0,0.03383476807617142,-0.7595342930144644,success,10.658000000000001,world_271.world,7.8721324090909235,0.5
VLM,0,119,1,0.4735058695777612,-232.76112196448088,timeout,64.931,world_270.world,8.0158028015772,0.0
VLM,0,17,4,0.5227273713373201,-6.733973524384789,collision,9.681000000000001,world_270.world,8.0158028015772,0.0
VLM,0,18,0,1.9379841205457133e-07,-2.875870614123981,success,10.331000000000001,world_269.world,8.393662666578876,0.5
VLM,0,18,0,1.9493173588075326e-07,-2.8807367120373217,success,10.271999999999998,world_269.world,8.393662666578876,0.5
VLM,0,23,0,0.17656262866208927,-8.260165609231988,success,12.807,world_268.world,7.825330424845294,0.5
VLM,0,16,0,2.212388891064405e-07,-1.6154581460455328,success,9.053,world_268.world,7.825330424845294,0.5
VLM,0,14,0,2.512562182773321e-07,-0.6823764376164116,success,7.972999999999999,world_267.world,7.767884282048531,0.5
VLM,0,14,0,2.4509797914265217e-07,-0.6721284267712885,success,8.172999999999998,world_267.world,7.767884282048531,0.5
VLM,0,17,0,2.0876822363920176e-07,-1.9696682525247113,success,9.591999999999999,world_266.world,8.268726393333566,0.5
VLM,0,17,0,2.0242910882001849e-07,-1.93655734145129,success,9.887000000000002,world_266.world,8.268726393333566,0.5
VLM,0,43,0,0.3983193782924892,-15.863683934543308,success,23.814999999999998,world_265.world,8.367950840432563,0.3513731194806871
VLM,0,23,0,1.5313933336304237e-07,-4.0766006685049705,success,13.066,world_265.world,8.367950840432563,0.5
VLM,0,119,0,0.4720781363418328,-225.5745385013823,timeout,65.56,world_264.world,7.690668105576133,0.0
VLM,0,20,3,0.38556348845713234,-12.020026084547021,collision,11.379,world_264.world,7.690668105576133,0.0
VLM,0,38,0,0.17094024967329063,-19.19219910721446,success,21.070999999999998,world_263.world,8.828844286165843,0.41900452214730405
VLM,0,119,0,0.5095033872009997,-239.74260068296493,timeout,65.24000000000001,world_263.world,8.828844286165843,0.0
VLM,0,119,1,0.39003385450526434,-170.29828733271762,timeout,65.032,world_262.world,7.862157626920194,0.0
VLM,0,97,6,0.42313491246665735,-99.4623497909164,collision,53.086,world_262.world,7.862157626920194,0.0
VLM,0,14,0,2.481388962434501e-07,-0.4621810038488462,success,8.077,world_261.world,7.798286266619087,0.5
VLM,0,15,0,2.3474172893386647e-07,-0.4954332359705621,success,8.533999999999999,world_261.world,7.798286266619087,0.5
VLM,0,47,1,0.16000006461537966,-38.7461670942895,success,26.009,world_260.world,7.912408394061744,0.0
VLM,0,58,0,0.2027534916925224,-55.93387442450479,success,31.973,world_260.world,7.912408394061744,0.24747156644862053
VLM,0,119,0,0.4381712354043806,-265.33200593930354,timeout,65.18799999999999,world_259.world,8.292681330688314,0.0
VLM,0,119,1,0.46050626835906466,-204.80392044301996,timeout,65.58399999999999,world_259.world,8.292681330688314,0.0
VLM,0,113,0,0.7911659697575196,-20.729698166509802,success,61.596999999999994,world_258.world,8.575004014668814,0.13921139040324715
VLM,0,119,0,0.8540325098426094,-14.527432375092262,timeout,65.22399999999999,world_258.world,8.575004014668814,0.0
