Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
VLM,0,16,4,0.07692327416169356,-2.7282919976622235,collision,9.37,world_299.world,8.407246218783108,0.0
VLM,0,45,0,8.097165336261916e-08,-7.377169030614425,success,24.711999999999996,world_299.world,8.407246218783108,0.3402090570889895
VLM,0,41,0,8.833921481102344e-08,-7.3747084032314225,success,22.644999999999996,world_299.world,8.407246218783108,0.3712628049804862
VLM,0,26,0,1.381215278837669e-07,-2.0743797644569155,success,14.496999999999998,world_298.world,7.998182157301491,0.5
VLM,0,20,0,1.769911191166161e-07,-1.6253382750850869,success,11.318000000000001,world_298.world,7.998182157301491,0.5
VLM,0,27,0,1.326259771053081e-07,-1.757927353830876,success,15.083,world_298.world,7.998182157301491,0.5
VLM,0,21,0,1.6977925810199355e-07,-3.2901185934616373,success,11.786,world_297.world,7.826528565435303,0.5
VLM,0,23,0,0.022047398102771953,-3.8813304987750765,success,12.706,world_297.world,7.826528565435303,0.5
VLM,0,21,0,1.7035772225592467e-07,-3.1088142152928375,success,11.747,world_297.world,7.826528565435303,0.5
VLM,0,77,0,0.035037924477370995,-24.500068641629497,success,42.256,world_296.world,7.77842316226422,0.1840785488987178
VLM,0,104,0,0.006364957342116077,-23.175496366073617,success,56.573,world_296.world,7.77842316226422,0.13749355986538137
VLM,0,65,0,0.008398711735794416,-11.672372842405839,success,35.732,world_296.world,7.77842316226422,0.21768787535722098
VLM,0,36,0,9.9999990000001e-08,-6.263319010545775,success,20.009,world_295.world,8.500779295370204,0.4248477832660405
VLM,0,32,0,1.124859266045077e-07,-7.406933092388606,success,17.799999999999997,world_295.world,8.500779295370204,0.47757187052641603
VLM,0,31,0,1.1695905064806426e-07,-6.642786242796096,success,17.119999999999997,world_295.world,8.500779295370204,0.4965408466921849
VLM,0,32,0,1.1173183109141553e-07,-5.506728350343664,success,17.913,world_294.world,8.261333769311195,0.46119208224815467
VLM,0,36,0,9.980038924147812e-08,-6.46331707178552,success,20.048000000000002,world_294.world,8.261333769311195,0.4120777019808058
VLM,0,34,0,1.0593219216819998e-07,-5.7859765915245,success,18.895,world_294.world,8.261333769311195,0.43722327437476555
VLM,0,44,1,0.018092186012155755,-9.63444399228507,success,24.323,world_293.world,7.997672131399035,0.0
VLM,0,39,1,0.0018640259213396162,-7.293546992698689,success,21.471000000000004,world_293.world,7.997672131399035,0.0
VLM,0,57,5,0.3108280693740083,-11.862609543116026,collision,31.406000000000006,world_293.world,7.997672131399035,0.0
