Method,Start_frame_id,Done_frame_id,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
VLM,0,75,0,0.653504582,-109.6165341,success,146.389,world_299.world,8.407246219,0.125
VLM,0,108,0,0.812967715,-172.9142955,success,374.164,world_299.world,8.407246219,0.125
VLM,0,199,0,0.874100483,-67.6310952,timeout,302.946,world_299.world,8.407246219,0
VLM,0,199,0,0.933560963,-15.84458056,timeout,140.59,world_298.world,7.998182157,0
VLM,0,22,0,0.391648712,-17.0522455,success,27.796,world_298.world,7.998182157,0.287745796
VLM,0,18,0,0.22598116,-8.056719765,success,14.786,world_298.world,7.998182157,0.5
VLM,0,16,0,0.15347732,-5.463413973,success,16.697,world_297.world,7.826528565,0.46873861
VLM,0,12,0,0.021314561,-3.637771623,success,11.27,world_297.world,7.826528565,0.5
VLM,0,199,0,0.967297763,,timeout,151.06,world_297.world,7.826528565,0
VLM,0,17,0,0.461224534,-9.433535092,success,24.499,world_296.world,7.778423162,0.317499619
VLM,0,16,0,0.189695645,-7.942353892,success,17.084,world_296.world,7.778423162,0.455304563
VLM,0,12,0,0.15569837,-6.341233697,success,12.476,world_296.world,7.778423162,0.5
VLM,0,28,0,0.617511532,-27.96222486,success,65.118,world_295.world,8.500779295,0.130544232
VLM,0,96,0,0.735622804,-104.6507098,success,318.572,world_295.world,8.500779295,0.125
VLM,0,26,0,0.413811038,-18.86512278,success,38.531,world_295.world,8.500779295,0.220621819
VLM,0,72,0,0.668406558,-105.7532566,success,137.958,world_294.world,8.261333769,0.125
VLM,0,199,0,0.906880571,-51.93535083,timeout,280.504,world_294.world,8.261333769,0
VLM,0,32,0,0.591954039,-31.5204045,success,52.215,world_294.world,8.261333769,0.158217634
VLM,0,26,0,0.376245899,-20.67921491,success,24.096,world_293.world,7.997672131,0.331908704
VLM,0,22,0,0.48952726,-20.86737527,success,33.421,world_293.world,7.997672131,0.239300803
VLM,0,199,0,0.963452348,-7.328557112,timeout,142.298,world_293.world,7.997672131,0
VLM,0,14,0,0.093354574,-3.731097543,success,12.643,world_292.world,9.189719208,0.5
VLM,0,15,0,0.260309374,-12.78295911,success,15.527,world_292.world,9.189719208,0.5
VLM,0,50,0,0.58056625,-82.89246289,success,57.224,world_292.world,9.189719208,0.160592045
VLM,0,29,0,0.346031781,-28.98590769,success,37.801,world_291.world,8.268512621,0.218737933
VLM,0,35,0,0.474054875,-28.64440337,success,53.96,world_291.world,8.268512621,0.153234111
VLM,0,64,0,0.735684447,-75.37128379,success,162.772,world_291.world,8.268512621,0.125
VLM,0,13,0,0.224242542,-6.674089294,success,13.215,world_290.world,7.731003683,0.5
VLM,0,19,0,0.357610527,-10.37570215,success,24.459,world_290.world,7.731003683,0.316080121
VLM,0,17,0,0.305909698,-17.90880839,success,17.278,world_290.world,7.731003683,0.447447834
VLM,0,16,0,0.233371,-5.271401664,success,17.751,world_289.world,7.884942332,0.444197078
VLM,0,37,0,0.469605593,-35.71933995,success,43.109,world_289.world,7.884942332,0.182907104
VLM,0,36,0,0.502252271,-61.65765769,success,53.281,world_289.world,7.884942332,0.147987882
VLM,0,17,0,0.182058155,-6.865298801,success,15.168,world_288.world,7.676966908,0.5
VLM,0,16,0,0.133431212,-9.027767615,success,13.658,world_288.world,7.676966908,0.5
VLM,0,34,0,0.490123488,-29.6105109,success,32.413,world_288.world,7.676966908,0.236848391
VLM,0,43,0,0.637677734,-50.94659226,success,84.409,world_287.world,8.433999179,0.125
VLM,0,32,0,0.487908986,-40.60707517,success,42.194,world_287.world,8.433999179,0.19988622
VLM,0,22,0,0.386178912,-14.00350778,success,24.614,world_287.world,8.433999179,0.342650491
VLM,0,91,0,0.592099801,-107.9614951,success,96.212,world_286.world,8.085594037,0.125
VLM,0,199,0,0.741166692,-180.186923,timeout,288.68,world_286.world,8.085594037,0
