rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,timeout_count,timeout_percentage,flip_count,flip_percentage
1,255,63.30129999999998,0.13088443448241077,5.745478305921976,11.490956611843952,90.0,20,18.0,90.0,2.0,10.0,,
2,14,53.99069999999997,0.08047763357691268,6.0395028051259825,12.079005610251965,55.00000000000001,20,11.0,55.00000000000001,7.0,35.0,2.0,10.0
3,163,51.53079999999996,0.06076767856104777,5.770770011572085,11.54154002314417,45.0,20,9.0,45.0,11.0,55.00000000000001,,
4,276,51.382600000000004,0.05030445060766879,6.299590978126192,12.599181956252384,40.0,20,8.0,40.0,11.0,55.00000000000001,1.0,5.0
5,283,51.3328,0.0375,5.874877156669885,11.74975431333977,30.0,20,6.0,30.0,13.0,65.0,1.0,5.0
6,169,51.32489999999998,0.050931013257777914,5.486006888412033,10.972013776824067,40.0,20,8.0,40.0,12.0,60.0,,
7,214,51.28689999999999,0.07577327697173229,5.954226312874237,11.908452625748474,55.00000000000001,20,11.0,55.00000000000001,7.0,35.0,2.0,10.0
8,285,51.15720000000001,0.143472710695369,5.579129338591526,11.158258677183053,100.0,20,20.0,100.0,,,,
9,207,51.11329999999995,0.10572550080648431,5.506780851214966,11.013561702429932,75.0,20,15.0,75.0,5.0,25.0,,
10,265,50.328499999999984,0.08243511674122786,6.298259065755926,12.596518131511852,55.00000000000001,20,11.0,55.00000000000001,6.0,30.0,3.0,15.0
11,260,50.238299999999995,0.05076014947803518,5.730656995304175,11.46131399060835,40.0,20,8.0,40.0,11.0,55.00000000000001,1.0,5.0
12,31,50.0,0.0,5.469820778742173,10.939641557484347,0.0,20,,,20.0,100.0,,
13,32,50.0,0.0,5.681755233192064,11.363510466384128,0.0,20,,,20.0,100.0,,
14,58,50.0,0.029313423033329088,6.574528340055508,13.149056680111016,15.0,20,3.0,15.0,16.0,80.0,1.0,5.0
15,90,50.0,0.0,5.557882885079009,11.115765770158019,0.0,20,,,20.0,100.0,,
16,93,50.0,0.0,5.346151133062284,10.692302266124567,0.0,20,,,20.0,100.0,,
17,106,50.0,0.03318158108561748,5.6310321010358155,11.262064202071631,15.0,20,3.0,15.0,17.0,85.0,,
18,112,50.0,0.035157772982593996,5.972018083656804,11.944036167313609,15.0,20,3.0,15.0,17.0,85.0,,
19,118,50.0,0.07043230026466896,5.745496015317659,11.490992030635319,40.0,20,8.0,40.0,12.0,60.0,,
20,127,50.0,0.0,5.732350137242944,11.464700274485889,0.0,20,,,20.0,100.0,,
21,128,50.0,0.0,5.548835873896184,11.097671747792369,0.0,20,,,20.0,100.0,,
22,129,50.0,0.0,5.791358347230201,11.582716694460402,0.0,20,,,20.0,100.0,,
23,130,50.0,0.0,5.576968565452434,11.153937130904868,0.0,20,,,20.0,100.0,,
24,131,50.0,0.0,6.549082424465057,13.098164848930114,0.0,20,,,20.0,100.0,,
25,138,50.0,0.06829120956804331,6.678280445640657,13.356560891281314,35.0,20,7.0,35.0,13.0,65.0,,
26,157,50.0,0.048172640526798885,6.21686798386368,12.43373596772736,25.0,20,5.0,25.0,14.0,70.0,1.0,5.0
27,182,50.0,0.07043696223718669,5.402161078590224,10.804322157180447,40.0,20,8.0,40.0,12.0,60.0,,
28,197,50.0,0.01829824558072483,5.4417105989901975,10.883421197980395,10.0,20,2.0,10.0,17.0,85.0,1.0,5.0
29,209,50.0,0.010667054141448747,5.7529556395662125,11.505911279132425,5.0,20,1.0,5.0,17.0,85.0,2.0,10.0
30,228,50.0,0.00625,6.277422167251589,12.554844334503178,5.0,20,1.0,5.0,18.0,90.0,1.0,5.0
31,237,50.0,0.0,5.684875091065381,11.369750182130762,0.0,20,,,20.0,100.0,,
32,246,50.0,0.0691194880485614,5.460525690945369,10.921051381890738,30.0,20,6.0,30.0,13.0,65.0,1.0,5.0
33,254,50.0,0.026154005730879403,5.843389402924612,11.686778805849224,20.0,20,4.0,20.0,15.0,75.0,1.0,5.0
34,258,50.0,0.016440917160718747,6.77694605364816,13.55389210729632,5.0,20,1.0,5.0,19.0,95.0,,
35,264,50.0,0.00625,5.972490888408847,11.944981776817693,5.0,20,1.0,5.0,19.0,95.0,,
36,270,50.0,0.051295349329947594,5.854824483015123,11.709648966030246,25.0,20,5.0,25.0,14.0,70.0,1.0,5.0
37,271,50.0,0.00625,5.67652545281962,11.35305090563924,5.0,20,1.0,5.0,18.0,90.0,1.0,5.0
38,275,50.0,0.01875,5.472307315539867,10.944614631079734,15.0,20,3.0,15.0,17.0,85.0,,
39,278,50.0,0.04341305229320095,5.531487978402172,11.062975956804344,30.0,20,6.0,30.0,10.0,50.0,4.0,20.0
40,282,50.0,0.04545400664128743,6.106475921683933,12.212951843367867,35.0,20,7.0,35.0,12.0,60.0,1.0,5.0
41,284,50.0,0.04019722431276017,5.55712102065534,11.11424204131068,30.0,20,6.0,30.0,8.0,40.0,6.0,30.0
42,286,50.0,0.021281295471347876,6.482610340277941,12.965220680555882,10.0,20,2.0,10.0,17.0,85.0,1.0,5.0
43,111,49.894700000000014,0.0599834923901395,6.701964148394199,13.403928296788399,35.0,20,7.0,35.0,9.0,45.0,4.0,20.0
44,181,49.72390000000001,0.0892666185442986,6.06819251640616,12.13638503281232,60.0,20,12.0,60.0,8.0,40.0,,
45,176,49.153499999999994,0.0729660628611053,5.4417105989901975,10.883421197980395,35.0,20,7.0,35.0,13.0,65.0,,
46,220,49.0629,0.07143223580842951,5.651946053648159,11.303892107296319,35.0,20,7.0,35.0,11.0,55.00000000000001,2.0,10.0
47,241,48.91590000000001,0.06625059922525889,5.635528539152456,11.271057078304912,40.0,20,8.0,40.0,9.0,45.0,3.0,15.0
48,293,48.69569999999997,0.0853588171444719,5.679764129926982,11.359528259853963,55.00000000000001,20,11.0,55.00000000000001,9.0,45.0,,
49,277,48.568500000000014,0.10893909220944631,5.464293112946189,10.928586225892378,65.0,20,13.0,65.0,6.0,30.0,1.0,5.0
50,259,48.2293,0.07538975990375504,5.550108213208152,11.100216426416305,30.0,20,6.0,30.0,14.0,70.0,,
51,167,47.68909999999996,0.0835869067131507,6.100845274149508,12.201690548299016,40.0,20,8.0,40.0,12.0,60.0,,
52,114,47.63210000000002,0.1361583516739504,6.2321347140871515,12.464269428174303,65.0,20,13.0,65.0,4.0,20.0,3.0,15.0
53,195,47.595899999999986,0.08404748322526341,5.48727382926184,10.97454765852368,40.0,20,8.0,40.0,10.0,50.0,2.0,10.0
54,292,47.46359999999995,0.12901208056560798,5.972777868289259,11.945555736578518,80.0,20,16.0,80.0,4.0,20.0,,
55,60,47.31430000000001,0.10405985859684921,5.468868094606092,10.937736189212185,60.0,20,12.0,60.0,8.0,40.0,,
56,272,47.278100000000066,0.11748488028477619,5.4016553203762765,10.803310640752553,75.0,20,15.0,75.0,5.0,25.0,,
57,250,45.94320000000003,0.13401656299773718,5.259012640350205,10.51802528070041,90.0,20,18.0,90.0,2.0,10.0,,
58,217,43.99649999999997,0.1027409261792042,5.525273994612045,11.05054798922409,50.0,20,10.0,50.0,10.0,50.0,,
59,299,43.89929999999998,0.1237129226773275,5.472307315539867,10.944614631079734,60.0,20,12.0,60.0,6.0,30.0,2.0,10.0
60,240,43.442899999999995,0.13955177576685562,6.392396232029949,12.784792464059898,55.00000000000001,20,11.0,55.00000000000001,9.0,45.0,,
61,143,43.36059999999998,0.11051764570187636,5.642884081470068,11.285768162940135,50.0,20,10.0,50.0,9.0,45.0,1.0,5.0
62,280,43.157299999999985,0.1553484680247689,6.391280019187756,12.782560038375513,90.0,20,18.0,90.0,2.0,10.0,,
63,62,42.93270000000001,0.12426295623720555,5.891979425779621,11.783958851559243,65.0,20,13.0,65.0,7.0,35.0,,
64,204,42.851199999999984,0.16086779890735117,6.837358092959306,13.674716185918612,80.0,20,16.0,80.0,2.0,10.0,2.0,10.0
65,236,42.18730000000004,0.13021481512886757,5.40120671899984,10.80241343799968,55.00000000000001,20,11.0,55.00000000000001,9.0,45.0,,
