rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,timeout_count,timeout_percentage,success_count,success_percentage,collision_count,collision_percentage
1,245,50.0,0.07352217884455688,8.007268408476058,16.014536816952116,29.411764705882355,17,9.0,52.94117647058824,5,29.411764705882355,3.0,17.647058823529413
2,258,50.0,0.10300759803573871,9.213802968411963,18.427605936823927,44.44444444444444,18,10.0,55.55555555555556,8,44.44444444444444,,
3,259,50.0,0.013888888888888888,7.9560472670364435,15.912094534072887,11.11111111111111,18,11.0,61.111111111111114,2,11.11111111111111,5.0,27.77777777777778
4,262,50.0,0.009098568523023405,7.994432677510963,15.988865355021925,5.88235294117647,17,9.0,52.94117647058824,1,5.88235294117647,7.0,41.17647058823529
5,264,50.0,0.04958603999185897,8.466781771013935,16.93356354202787,27.77777777777778,18,8.0,44.44444444444444,5,27.77777777777778,5.0,27.77777777777778
6,291,50.0,0.0631923067576546,8.44137750763085,16.8827550152617,35.294117647058826,17,10.0,58.82352941176471,6,35.294117647058826,1.0,5.88235294117647
7,248,49.51889999999999,0.10638105746892383,7.992281817512952,15.984563635025903,45.0,20,8.0,40.0,9,45.0,3.0,15.0
8,296,47.947530722618104,0.1354211716119575,8.15875377930285,16.3175075586057,30.0,20,14.0,70.0,6,30.0,,
9,274,46.88557448387146,0.13690447700727446,8.138067037123895,16.27613407424779,65.0,20,7.0,35.0,13,65.0,,
10,299,40.262265586853026,0.15182098370583358,7.894336686383634,15.788673372767269,50.0,20,9.0,45.0,10,50.0,1.0,5.0
11,266,28.098305654525756,0.29313793720507025,9.026095707843094,18.05219141568619,75.0,20,1.0,5.0,15,75.0,4.0,20.0
12,257,27.537542748451234,0.2986936701574434,8.555243811903232,17.110487623806463,95.0,20,1.0,5.0,19,95.0,,
13,295,27.42463891506195,0.2982787890053203,8.052208244254947,16.104416488509894,100.0,20,,,20,100.0,,
14,278,25.660405349731445,0.3312034766603527,7.993828924681077,15.987657849362154,100.0,20,,,20,100.0,,
15,279,25.429492163658143,0.31391608690941497,8.845363347015981,17.690726694031962,90.0,20,1.0,5.0,18,90.0,1.0,5.0
16,263,25.420285940170288,0.28989319943414565,8.08513236827637,16.17026473655274,90.0,20,2.0,10.0,18,90.0,,
17,265,25.12843725681305,0.32682491031652183,8.68694447036071,17.37388894072142,90.0,20,2.0,10.0,18,90.0,,
18,255,24.766395473480223,0.2919215540277057,8.234334840359,16.468669680718,85.0,20,3.0,15.0,17,85.0,,
19,260,23.034579873085022,0.3223860239002304,8.152686366147941,16.305372732295883,85.0,20,3.0,15.0,17,85.0,,
20,293,22.135319185256957,0.37004258215305835,8.116621044690785,16.23324208938157,95.0,20,,,19,95.0,1.0,5.0
21,252,21.716561722755433,0.34539178584837893,7.641234703942784,15.282469407885568,100.0,20,,,20,100.0,,
22,285,20.16275074481964,0.37774253801283425,8.078900016252494,16.157800032504987,95.0,20,1.0,5.0,19,95.0,,
23,253,19.35468533039093,0.3912943686614758,7.78074069000383,15.56148138000766,100.0,20,,,20,100.0,,
24,270,18.777469825744628,0.41719935319593826,8.352763465622921,16.705526931245842,100.0,20,,,20,100.0,,
